"CPOS","Left","Match","Right","L1","R1","Meaning","Emphasis","Gender","CS","Duration","SR","SpeechRate","TP.before","TP.after","T.Freq"
94574,"alcohol is allowed . You","must","become perfectly great friends next","you","become","deontic","no","male",0.230000000000473,-0.156439345440141,6.0590930451298,0.133089390848919,0.414990122234264,-0.265171232480529,-0.11713357007823
353422,"new American identity , they","must","fight a bitter war of","they","fight","deontic","no","male",0.220000000000255,-0.234051025129792,5.97426470587745,0.0865885451271971,0.334187210973564,-0.455510176621664,-0.101978873269307
838210,"community colleges with shower facilities","must","provide them to homeless students","facilities","provide","deontic","yes","female",0.400000000000091,0.809757614276139,5.10235909762356,-0.433720041609402,-0.520412668344334,-0.229601340024581,-0.508841633932178
1264115,"have the impression somebody else","must","be planning to run the","else","be","deontic","no","female",0.239999999999782,-0.0142098907186376,6.71479229989995,0.435854070451589,-0.381852458898026,-0.418397517971422,-0.406411825018867
1371533,"administration if elected ? I","must","say Ivanka and all of","i","say","deontic","no","male",0.220000000000027,-0.234051025131601,5.4518398268401,-0.215217604915732,0.366357135956004,-0.00622220809388782,0.631059031385165
1676178,"film any further , they","must","go under water . It","they","go","deontic","yes","female",0.339999999999918,0.526003576866069,4.60317460317654,-0.773286339479573,0.334187210973564,-0.0136413443563592,0.115776226411778
1878998,"time it talks about Israel","must","do this and that and","israel","do","deontic","no","male",0.25,-0.0108571153905919,5.97426470588385,0.0865885451307349,-0.368217858397472,-0.0136413443563592,-0.508841633932178
2005599,"return our calls . You","must","have been shocked . Shocked","you","have","epistemic","no","female",0.190000000000055,-0.490017070617335,6.36642156862622,0.296273021045613,0.414990122234264,0.456912124459245,0.623698395725008
2026551,"posted , sir , you","must","have forgot that you gave","you","have","epistemic","no","female",0.279999999999973,0.187011970441392,4.88095238095269,-0.580034387246008,0.414990122234264,0.456912124459245,0.623698395725008
2176385,"friendship means that the U.S.","must","accept any policy , regardless","u.s.","accept","deontic","no","male",0.260000000000019,0.0576212811981996,5.25362318840569,-0.337364887174547,-0.411246972476972,-0.320992852271625,-0.624310800002459
2329362,"both sides in this conflict","must","take responsibility to do that","conflict","take","deontic","no","male",0.25,-0.0108571153905919,5.26135741653489,-0.33251302895437,-0.619149488805807,-0.0164040047230779,-0.624310800002459
2510416,"a pushing age and we","must","push at the best .","we","push","deontic","no","female",0.230000000000018,-0.156439345443595,6.36752136751834,0.296842725874833,0.423412643940761,-0.703873216425846,-0.277903301791616
2617782,"meat every day . That","must","cost a lot of money","that","cost","epistemic","no","male",0.180000000000064,-0.584417103735518,6.66666666666768,0.448259501159201,0.22919275227755,-0.811947531804735,-0.44129650179152
2753028,"got their handle on and","must","be absolutely terrifying to the","and","be","epistemic","no","male",0.209999999999809,-0.23925793993191,6.51260504201396,0.3320619655123,0.200009230437642,-0.182117313078943,0.212419884630362
2779610,"Director Ron Hosko says police","must","act as if it 's","police","act","deontic","yes","female",0.300000000000011,0.30747182024114,5.16363022941985,-0.394350553111834,-0.513171674371861,-0.343241276158751,-0.624310800002459
2949382,"on international issues . We","must","regain our bail to truly","we","regain","deontic","no","male",0.460000000000036,1.05377851416529,5.29967873717973,-0.308577922386311,0.423412643940761,-0.919810957950371,-0.624310800002459
3020929,"US did not . You","must","have gone into meeting her","you","have","epistemic","no","male",0.220000000000027,-0.234051025131601,6.83379120878817,0.529920265281105,0.414990122234264,0.456912124459245,0.623698395725008
3097270,"Fisher was , and that","must","have given a lot of","that","have","epistemic","no","male",0.200000000000045,-0.400460245332748,5.46409472880177,-0.207812203210949,0.22919275227755,0.456912124459245,0.499552362541885
3104530,", storytelling , that I","must","be so bad at everything","i","be","epistemic","no","male",0.199999999999932,-0.321486778043955,10.0961538461597,1.82041695134241,0.414180299049963,0.355449689577295,0.165404561008043
3543775,"The Obama Administration says there","must","be a response . But","there","be","deontic","yes","male",0.340000000000146,0.52600357686724,5.26315789473691,-0.331384571241927,0.187414095243886,0.606029652532906,0.690529694217258
3584524,"Simmer said quote the RNC","must","have Christmas and April fools","rnc","have","epistemic","no","male",0.230000000000018,-0.156439345443595,5.44294294294116,-0.220604257492421,-1.13684029112378,0.456912124459245,-0.624310800002459
3622821,"Palestinians to , as they","must","in any agreement going back","they","in","deontic","yes","male",0.340000000000032,0.526003576866654,6.70349000844273,0.466426672899523,0.334187210973564,-0.500079066657633,-0.258282203580581
3658524,"it is humiliating , one","must","be able to lose with","one","be","deontic","no","male",0.25,0.0545897379785284,5.62629399585928,-0.164566388919817,0.191836381289861,0.666475891569102,0.00738651542436351
4194704,"anything that goes against them","must","be wrong . Let 's","them","be","epistemic","no","male",0.169999999999959,-0.595389171517265,6.79760803488886,0.477467825326199,-0.243772218689025,0.0407557510322671,-0.270825423146301
4290052,"single mom of four and","must","now taken -- take on","and","now","deontic","no","female",0.149999999999864,-0.90274603936939,6.27450980392222,0.248310808891289,0.148744103588931,-0.169232411222992,-0.0815549455850811
4598897,"loss is humiliating and one","must","be able to lose with","one","be","deontic","no","male",0.190000000000055,-0.490017070617335,6.82490128918752,0.525626994427024,0.140439907799786,0.606029652532906,0.321930940126396
5044195,"part , `` the US","must","greatly strengthen and expand its","us","greatly","deontic","no","female",0.289999999999964,0.248280548232483,5.20467836257166,-0.368235718119706,-0.270542250434195,-1.19458917093063,-0.624310800002459
5219588,"tweet about it . He","must","have known that that was","he","have","epistemic","no","male",0.240000000000009,-0.082131309701407,7.33100233100245,0.7615576077255,0.302304980898699,0.456912124459245,0.657169709638214
5272495,"and killed him . He","must","have been identified with the","he","have","epistemic","yes","male",0.25,-0.0108571153905919,7.15283989266492,0.680414097807806,0.302304980898699,0.456912124459245,0.657169709638214
5688853,"the PRESIDENT-ELECT saying the U.S.","must","expand its nuclear capability .","u.s.","expand","deontic","no","female",0.310000000000002,0.364722041127419,5.89256535947715,0.041174494265787,-0.411246972476972,-0.722691147127071,-0.624310800002459
5973792,"with terror figures . We","must","remember also , molly ,","we","remember","deontic","no","male",0.199999999999989,-0.400460245333237,5.53921568627436,-0.162777840795271,0.423412643940761,-0.253449190886005,0.25664464657091
6491029,"the house , and bud","must","have tried to protect her","bud","have","epistemic","no","female",0.25,-0.0108571153905919,3.71107181452019,-1.48379039373349,-0.911019119309811,0.456912124459245,-0.508841633932178
6536513,"those involved in the media","must","have their day of reckoning","media","have","epistemic","no","female",0.379999999999995,0.720200788991018,5.17594537815179,-0.386493916353128,-0.582800398992157,0.456912124459245,-0.356199699210659
6904749,"all that gold , you","must","have a lot of friends","you","have","epistemic","no","male",0.190000000000055,-0.490017070617335,6.47773279352143,0.353439815397534,0.414990122234264,0.456912124459245,0.623698395725008
7147403,"the future , and we","must","and we should , who","we","and","deontic","yes","male",0.360000000000127,0.62580075587336,5.66466718266257,-0.0889151783012729,0.423412643940761,-0.563487626028022,-0.277903301791616
7221003,"worse , the civilized world","must","change thinking . '' How","world","change","deontic","no","female",0.300000000000011,0.30747182024114,6.64996767937905,0.439987789098359,-0.26895301302519,-0.308081666309293,-0.624310800002459
7280087,"power , friends . You","must","give them these things .","you","give","deontic","yes","female",0.329999999999927,0.473881040442016,5.36583951762601,-0.267659041430357,0.414990122234264,-0.240525447927271,0.105676965070464
7280997,"about what police in Germany","must","be doing now . Right","germany","be","deontic","yes","female",0.200000000000273,-0.400460245330758,6.16858237547883,0.19215559011599,-0.648848857682196,0.606029652532906,-0.508841633932178
7645942,", I mean , I","must","admit I 've been rather","i","admit","deontic","no","male",0.319999999999936,0.420154484332844,4.28824049513593,-1.00702473103181,0.366357135956004,-0.23742740638262,0.389665483081393
7838975,", what happened ? People","must","have been in shock and","people","have","epistemic","no","female",0.21999999999997,-0.234051025132054,5.11508951406605,-0.425501402800414,-0.0646577363501823,0.456912124459245,0.152556564273138
7879487,". I know that folks","must","be looking at the target","folks","be","epistemic","no","female",0.189999999999998,-0.490017070617859,6.16858237547895,0.192155590116053,-0.685197947495847,0.606029652532906,-0.44129650179152
7966446,"this is , so I","must","be the only person going","i","be","epistemic","no","female",0.199999999999818,-0.40046024533473,5.91137770898016,0.051687231791906,0.366357135956004,0.606029652532906,0.478505966654159
8029267,"few weeks saying , we","must","remember Aleppo , also saying","we","remember","deontic","yes","female",0.299999999999997,0.307471820241059,5.95238095238097,0.0744852532603687,0.423412643940761,-0.253449190886005,0.25664464657091
8522248,"towards Russia , one that","must","upset you given the fact","that","upset","epistemic","yes","male",0.270000000000039,0.123514961838331,4.80549199084654,-0.631422535034792,0.22919275227755,-1.32622179573734,-0.624310800002459
8595632,"anyone who is not conservative","must","be liberal . Where as","conservative","be","epistemic","no","female",0.289999999999964,0.304730412463856,4.26086956521713,-1.10826013179935,-0.954116513014868,-0.660394322621909,-0.9475759312743
8949654,"I think what trump administration","must","do now is reenforce its","administration","do","deontic","yes","male",0.309999999999945,0.364722041127097,6.17714255352934,0.196729270293458,-0.368217858397472,-0.0136413443563592,-0.624310800002459
9128646,"and defense . The Senate","must","approve all cabinet appoints .","senate","approve","deontic","yes","female",0.340000000000032,0.526003576866654,5.93602245862983,0.0654087289717284,-0.520412668344334,-0.524913083530238,-0.508841633932178
9226696,"the garage floor . She","must","have bled some on to","she","have","epistemic","no","male",0.25,-0.0108571153905919,4.19805194805291,-1.0771297755392,0.212709627377216,0.456912124459245,0.580927727437093
9256845,"in the morning . They","must","have had a really good","they","have","epistemic","no","female",0.210000000000036,-0.315273823592806,6.01190476190497,0.107302870626347,0.334187210973564,0.456912124459245,0.559282610284704
